,datetime,station,lat,lon,pm2_5
215,2024-01-02 06:00:00,15T,13.7083,100.3728,58.23
216,2024-01-02 06:00:00,61T,13.6796,100.6067,18.3
217,2024-01-02 07:00:00,3T,13.7563,100.5018,27.23
218,2024-01-02 07:00:00,5T,13.7367,100.5231,27.23
219,2024-01-02 07:00:00,10T,13.7291,100.775,10.01
220,2024-01-02 07:00:00,11T,13.7898,100.4486,39.73
221,2024-01-02 07:00:00,12T,13.8225,100.5147,27.23
222,2024-01-02 07:00:00,15T,13.7083,100.3728,39.73
223,2024-01-02 07:00:00,61T,13.6796,100.6067,18.78
224,2024-01-02 08:00:00,3T,13.7563,100.5018,31.43
225,2024-01-02 08:00:00,5T,13.7367,100.5231,31.43
226,2024-01-02 08:00:00,10T,13.7291,100.775,11.31
227,2024-01-02 08:00:00,11T,13.7898,100.4486,40.14
228,2024-01-02 08:00:00,12T,13.8225,100.5147,31.43
229,2024-01-02 08:00:00,15T,13.7083,100.3728,40.14
230,2024-01-02 08:00:00,61T,13.6796,100.6067,20.77
231,2024-01-02 09:00:00,3T,13.7563,100.5018,35.05
232,2024-01-02 09:00:00,5T,13.7367,100.5231,35.05
233,2024-01-02 09:00:00,10T,13.7291,100.775,12.61
234,2024-01-02 09:00:00,11T,13.7898,100.4486,43.94
235,2024-01-02 09:00:00,12T,13.8225,100.5147,35.05
236,2024-01-02 09:00:00,15T,13.7083,100.3728,43.94
237,2024-01-02 09:00:00,61T,13.6796,100.6067,22.0
238,2024-01-02 10:00:00,3T,13.7563,100.5018,60.7
239,2024-01-02 10:00:00,5T,13.7367,100.5231,60.7
240,2024-01-02 10:00:00,10T,13.7291,100.775,17.15
241,2024-01-02 10:00:00,11T,13.7898,100.4486,65.65
242,2024-01-02 10:00:00,12T,13.8225,100.5147,60.7
243,2024-01-02 10:00:00,15T,13.7083,100.3728,65.65
244,2024-01-02 10:00:00,61T,13.6796,100.6067,42.85
245,2024-01-02 11:00:00,3T,13.7563,100.5018,111.01
246,2024-01-02 11:00:00,5T,13.7367,100.5231,111.01
247,2024-01-02 11:00:00,10T,13.7291,100.775,25.16
248,2024-01-02 11:00:00,11T,13.7898,100.4486,106.48
249,2024-01-02 11:00:00,12T,13.8225,100.5147,111.01
250,2024-01-02 11:00:00,15T,13.7083,100.3728,106.48
251,2024-01-02 11:00:00,61T,13.6796,100.6067,89.96
252,2024-01-02 12:00:00,3T,13.7563,100.5018,180.52
253,2024-01-02 12:00:00,5T,13.7367,100.5231,180.52
254,2024-01-02 12:00:00,10T,13.7291,100.775,35.34
255,2024-01-02 12:00:00,11T,13.7898,100.4486,149.59
256,2024-01-02 12:00:00,12T,13.8225,100.5147,180.52
257,2024-01-02 12:00:00,15T,13.7083,100.3728,149.59
258,2024-01-02 12:00:00,61T,13.6796,100.6067,142.75
259,2024-01-02 13:00:00,3T,13.7563,100.5018,248.75
260,2024-01-02 13:00:00,5T,13.7367,100.5231,248.75
261,2024-01-02 13:00:00,10T,13.7291,100.775,42.66
262,2024-01-02 13:00:00,11T,13.7898,100.4486,195.39
263,2024-01-02 13:00:00,12T,13.8225,100.5147,248.75
264,2024-01-02 13:00:00,15T,13.7083,100.3728,195.39
265,2024-01-02 13:00:00,61T,13.6796,100.6067,200.0
266,2024-01-02 14:00:00,3T,13.7563,100.5018,282.44
267,2024-01-02 14:00:00,5T,13.7367,100.5231,282.44
268,2024-01-02 14:00:00,10T,13.7291,100.775,45.63
269,2024-01-02 14:00:00,11T,13.7898,100.4486,210.29
270,2024-01-02 14:00:00,12T,13.8225,100.5147,282.44
271,2024-01-02 14:00:00,15T,13.7083,100.3728,210.29
272,2024-01-02 14:00:00,61T,13.6796,100.6067,274.04
273,2024-01-02 15:00:00,3T,13.7563,100.5018,282.05
274,2024-01-02 15:00:00,5T,13.7367,100.5231,282.05
275,2024-01-02 15:00:00,10T,13.7291,100.775,50.64
276,2024-01-02 15:00:00,11T,13.7898,100.4486,181.26
277,2024-01-02 15:00:00,12T,13.8225,100.5147,282.05
278,2024-01-02 15:00:00,15T,13.7083,100.3728,181.26
279,2024-01-02 15:00:00,61T,13.6796,100.6067,361.77
280,2024-01-02 16:00:00,3T,13.7563,100.5018,252.82
281,2024-01-02 16:00:00,5T,13.7367,100.5231,252.82
282,2024-01-02 16:00:00,10T,13.7291,100.775,54.46
283,2024-01-02 16:00:00,11T,13.7898,100.4486,141.04
284,2024-01-02 16:00:00,12T,13.8225,100.5147,252.82
285,2024-01-02 16:00:00,15T,13.7083,100.3728,141.04
286,2024-01-02 16:00:00,61T,13.6796,100.6067,413.46
287,2024-01-02 17:00:00,3T,13.7563,100.5018,214.69
288,2024-01-02 17:00:00,5T,13.7367,100.5231,214.69
289,2024-01-02 17:00:00,10T,13.7291,100.775,46.39
290,2024-01-02 17:00:00,11T,13.7898,100.4486,136.44
291,2024-01-02 17:00:00,12T,13.8225,100.5147,214.69
292,2024-01-02 17:00:00,15T,13.7083,100.3728,136.44
293,2024-01-02 17:00:00,61T,13.6796,100.6067,378.17
294,2024-01-02 18:00:00,3T,13.7563,100.5018,165.66
295,2024-01-02 18:00:00,5T,13.7367,100.5231,165.66
296,2024-01-02 18:00:00,10T,13.7291,100.775,34.08
297,2024-01-02 18:00:00,11T,13.7898,100.4486,175.38
298,2024-01-02 18:00:00,12T,13.8225,100.5147,165.66
299,2024-01-02 18:00:00,15T,13.7083,100.3728,175.38
300,2024-01-02 18:00:00,61T,13.6796,100.6067,243.4
301,2024-01-02 19:00:00,3T,13.7563,100.5018,103.42
302,2024-01-02 19:00:00,5T,13.7367,100.5231,103.42
303,2024-01-02 19:00:00,10T,13.7291,100.775,22.92
304,2024-01-02 19:00:00,11T,13.7898,100.4486,191.89
305,2024-01-02 19:00:00,12T,13.8225,100.5147,103.42
306,2024-01-02 19:00:00,15T,13.7083,100.3728,191.89
307,2024-01-02 19:00:00,61T,13.6796,100.6067,106.63
308,2024-01-02 20:00:00,3T,13.7563,100.5018,66.11
309,2024-01-02 20:00:00,5T,13.7367,100.5231,66.11
310,2024-01-02 20:00:00,10T,13.7291,100.775,19.08
311,2024-01-02 20:00:00,11T,13.7898,100.4486,180.44
312,2024-01-02 20:00:00,12T,13.8225,100.5147,66.11
313,2024-01-02 20:00:00,15T,13.7083,100.3728,180.44
314,2024-01-02 20:00:00,61T,13.6796,100.6067,48.42
315,2024-01-02 21:00:00,3T,13.7563,100.5018,47.37
316,2024-01-02 21:00:00,5T,13.7367,100.5231,47.37
317,2024-01-02 21:00:00,10T,13.7291,100.775,17.02
